	corpus	metric-entropy	n-dimension	pair-metric	radius-absolute	radius-relative	replicate	tool
0	text8	0.27497044574766466	50	cosine	0.04985589114705244	0.05	2	GloVe
1	text8	0.27286881002603863	50	cosine	0.09971178229410488	0.1	2	GloVe
2	text8	0.23252822141350454	50	cosine	0.19942356458820976	0.2	2	GloVe
3	text8	0.1443985999397325	50	cosine	0.29913534688231463	0.3	2	GloVe
4	text8	0.058892159817034065	50	cosine	0.3988471291764195	0.4	2	GloVe
5	text8	0.013625862481939068	50	cosine	0.4985589114705244	0.5	2	GloVe
6	text8	0.0027159005740865225	50	cosine	0.5982706937646293	0.6	2	GloVe
0	text8	0.2769831910860995	50	cosine	0.049932699487922186	0.05	3	GloVe
1	text8	0.27474926735863814	50	cosine	0.09986539897584437	0.1	3	GloVe
2	text8	0.23216071796907534	50	cosine	0.19973079795168874	0.2	3	GloVe
3	text8	0.14288549778748147	50	cosine	0.2995961969275331	0.3	3	GloVe
4	text8	0.0574904552300669	50	cosine	0.3994615959033775	0.4	3	GloVe
5	text8	0.01315835561419281	50	cosine	0.49932699487922183	0.5	3	GloVe
6	text8	0.0025725149544458584	50	cosine	0.5991923938550662	0.6	3	GloVe
0	text8	0.27659285053593774	50	cosine	0.04984281186817359	0.05	1	GloVe
1	text8	0.27445920421599185	50	cosine	0.09968562373634718	0.1	1	GloVe
2	text8	0.23201946320723185	50	cosine	0.19937124747269436	0.2	1	GloVe
3	text8	0.14336626429232122	50	cosine	0.2990568712090415	0.3	1	GloVe
4	text8	0.05764731487023233	50	cosine	0.3987424949453887	0.4	1	GloVe
5	text8	0.013295453662176552	50	cosine	0.49842811868173587	0.5	1	GloVe
6	text8	0.002619449216108447	50	cosine	0.598113742418083	0.6	1	GloVe
